      0.00018363     43.40302906     35.54048782      7.86207115     100 0.00071569      14 0.00002999      37 0.00024024      49 0.00044547      86 0.02248400      13 0.00099376      72 0.02081931       1 0.00067093      73 0.11353624       2 0.00297824       1 0.00122076      70 0.10933724     597 0.07776843     497 0.04388476      51 0.02427746      49 0.00960620      71 43.05272727      60 33.85238218       2 2.09639449       9 7.10395059
      0.00016640     31.39669993     31.39625963      0.00000009      72 0.00043378      14 0.00003254      42 0.00026757      16 0.00013368      58 0.01618059       7 0.00060416      51 0.01557643       0 0.00000000      51 0.07856133       2 0.00295715       0 0.00000000      49 0.07560418     586 0.07624511     514 0.04651718      56 0.02664234      16 0.00308560      49 31.10715037      40 22.85234668       1 1.19807258       8 7.05673111
      0.00017270     42.96723002     42.96677510      0.00000009      85 0.00055244      17 0.00003347      42 0.00027012      26 0.00024885      68 0.02104607       7 0.00102055      61 0.02002551       0 0.00000000      61 0.09431344       3 0.00392576       0 0.00000000      58 0.09038768     582 0.07613365     497 0.04452545      59 0.02753682      26 0.00407139      58 42.65931245      46 31.62095611       1 1.35264789      11 9.68570846
      0.00018268     34.98104169     24.09514094     10.88543436      80 0.00054861      11 0.00002889      43 0.00028502      26 0.00023470      69 0.01768856       9 0.00101411      59 0.01600813       1 0.00066632      60 0.09472304       3 0.00442400       0 0.00000000      57 0.09029904     615 0.07172405     535 0.04093938      54 0.02630624      26 0.00447843      57 34.66292494      47 27.94090500       2 1.79588207       8 4.92613787
      0.00016763     41.81387959     41.81343684      0.00000010      74 0.00045632      12 0.00003056      50 0.00033014      12 0.00009563      62 0.01909887       4 0.00048366      58 0.01861521       0 0.00000000      58 0.08797218       4 0.00556059       1 0.00125052      53 0.08116107     581 0.07979292     507 0.04731646      62 0.02967311      12 0.00280336      54 41.51064926      44 31.71653267       1 1.26040773       9 8.53370886
      0.00019602     40.07487078     40.07437004      0.00000009      74 0.00047554      11 0.00002492      49 0.00032860      14 0.00012201      63 0.01864750       7 0.00082740      56 0.01782010       0 0.00000000      56 0.08684631       2 0.00298853       1 0.00124338      53 0.08261440     595 0.08057159     521 0.04806964      60 0.02958712      14 0.00291483      54 39.76855877      42 29.04635006       1 1.27397777      11 9.44823094
      0.00018713     39.32389945     39.32342034      0.00000010      73 0.00044439      14 0.00003256      42 0.00027288      17 0.00013895      59 0.01753335       6 0.00044177      53 0.01709158       0 0.00000000      53 0.08052533       2 0.00261706       0 0.00000000      51 0.07790827     581 0.07991665     508 0.05015243      55 0.02611813      18 0.00364609      51 39.03071659      43 30.10095711       1 2.09221706       7 6.83754242
      0.00019081     28.61296394     28.61248589      0.00000009      68 0.00045656      12 0.00002854      33 0.00021966      23 0.00020837      56 0.01381368       7 0.00057046      49 0.01324322       0 0.00000000      49 0.07217137       3 0.00440511       0 0.00000000      46 0.06776626     583 0.07316381     515 0.04793902      45 0.02150278      23 0.00372201      46 28.33834161      35 19.91122398       1 1.14576523      10 7.28135240
      0.00016516     38.29036500     38.28992520      0.00000010      73 0.00044144      17 0.00003920      43 0.00027786      13 0.00012437      56 0.01648892       6 0.00070018      50 0.01578874       0 0.00000000      50 0.07592715       2 0.00289252       0 0.00000000      48 0.07303463     563 0.07790059     490 0.04577546      60 0.02856564      13 0.00355950      48 38.00866210      37 27.57804421       1 1.11609725      10 9.31452064
      0.00018151     42.91167244     32.86635882     10.04484757      87 0.00050653      16 0.00003706      44 0.00027714      27 0.00019233      71 0.01896125       7 0.00060470      64 0.01835655       0 0.00000000      64 0.09457887       1 0.00133771       1 0.00115897      62 0.09208218     618 0.09354411     531 0.05772932      60 0.02936164      27 0.00645315      63 42.56691278      52 34.41809716       2 2.05264242       9 6.09617320
      0.00016877     29.47566232     29.47517961      0.00000009      73 0.00043581      16 0.00003450      41 0.00024258      16 0.00015873      57 0.01323411       8 0.00058091      49 0.01265320       0 0.00000000      49 0.07525977       2 0.00277011       2 0.00251106      45 0.06997861     570 0.07265371     497 0.04418223      56 0.02622600      17 0.00224548      47 29.20065021      40 22.51811535       1 1.17608283       6 5.50645203
