 20 480
 1 144
 14 217
 60 212
 97 118
 134 365
 138 325
 143 272
 144 364
 220 255
 231 400
 264 478
 301 531
 324 444
 342 534
 402 576
 405 465
 410 462
 414 463
 419 507
 445 606
1 10 169
1 11 131
1 13 286
1 16 371
1 17 457
1 18 409
2 13 155
2 17 346
2 18 300
3 13 219
3 14 245
3 16 274
3 17 319
3 18 360
3 19 347
4 10 187
4 11 178
4 12 287
4 13 288
4 14 390
4 15 349
4 16 529
4 17 462
4 18 586
4 19 471
5 19 77
6 15 130
6 16 121
6 17 109
7 15 148
7 16 203
7 17 154
7 18 170
7 19 254
7 20 307
8 17 91
9 12 61
9 15 203
9 16 236
9 17 297
9 19 285
9 20 342
